Unnamed: 0,FirstName,LastName,StartDate,ExitDate,PositionTitle,Supervisor,ADEmail,Faculty,EmployeeStatus,EmployeeType,TerminationType,DOB,JobFunction,GenderCode,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,StaffType,EmploymentDuration_months,TerminationYear,TerminationMonth,TerminationYearMonth,TenureGroup,EmploymentStatus,StatusValidated,TerminationCategory,VoluntaryTermination,InvoluntaryTermination,ActiveStaff,RetirementCategory,TerminatedStaff,RetainedOver2Years,Total_Survey_Score,PerformanceGroup,EngagementGroup,SatisfactionGroup,Work-Life_BalanceGroup,Total_Survey_Group,Age,JobFunction_LE,PositionTitle_LE,TenureGroup_,Predicted_Terminated,Probability_Terminated
0,Aaden,Mercer,2023-07-26,,Senior Research Fellow,Victoria Jacobs,aaden.mercer@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1983-09-25,Senior Research Fellow,Female,3,1808,2023-04-25,5,2,4,Academic,22.03333333333333,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,0,3.6666666666666665,Medium,High,Low,High,Medium,41,68,35,2,0,0.062232897
1,Aaliyah,Watts,2020-05-09,,Senior Lecturer,Jared Whitehead,aaliyah.watts@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1962-04-11,Senior Lecturer,Male,3,3783,2023-03-07,3,4,3,Academic,61.13333333333333,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Medium,Medium,High,Medium,Medium,63,67,32,4,0,0.00044810603
2,Aarav,Espinoza,2019-11-11,,Officer,David Ali,aarav.espinoza@bilearner.com,Faculty of Arts,Active,Part-Time,Unk,1999-12-15,Administration-Officer,Male,2,2956,2023-02-06,5,4,1,Professional,67.13333333333334,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Low,High,High,Low,Medium,25,5,19,4,0,9.148082e-05
3,Aaron,Tapia,2023-01-20,,Officer,Michael Reed,aaron.tapia@bilearner.com,Faculty of Arts,Active,Contract,Unk,2001-01-18,Student Services-Officer,Male,3,1538,2022-11-11,2,4,5,Professional,28.266666666666666,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,Medium,Low,High,High,Medium,24,75,19,2,0,0.044958044
4,Aaron,Weber,2020-04-06,2023-07-24,Lecturer,Melanie Garcia,aaron.weber@bilearner.com,Faculty of Engineering,Active,Full-Time,Involuntary,1991-10-27,Lecturer,Male,2,3541,2022-11-28,1,3,3,Academic,40.13333333333333,2023.0,7.0,2023-07,3-5yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.333333333333333,Low,Low,Medium,Medium,Low,33,37,16,3,1,0.8515418
5,Abagail,Banks,2021-05-10,2023-04-10,Senior Officer,Austin Salas,abagail.banks@bilearner.com,Faculty of Medicine,Active,Full-Time,Retirement,1986-12-15,RTS-Senior Officer,Male,3,1502,2023-06-08,5,3,5,Professional,23.33333333333333,2023.0,4.0,2023-04,1-3yrs,Terminated,Terminated,Retirement,0,0,0,1,1,0,4.333333333333333,Medium,High,Medium,High,High,38,59,34,2,1,0.8177714
6,Abagail,Moran,2019-08-24,,Officer,Caitlin Stokes,abagail.moran@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1992-04-24,Administration-Officer,Female,4,2114,2023-02-08,5,4,1,Professional,69.76666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,High,High,High,Low,Medium,33,5,19,4,0,4.0113544e-05
7,Abagail,Villanueva,2019-10-15,,Assistant Lecturer,Whitney Ross,abagail.villanueva@bilearner.com,Faculty of Arts,Active,Full-Time,Unk,1997-02-09,Assistant Lecturer,Male,5,2713,2022-12-22,5,2,4,Academic,68.03333333333333,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,High,High,Low,High,Medium,28,8,5,4,0,0.00020366258
8,Abbigail,Blanchard,2021-05-09,2022-11-12,Specialist,Karen Pugh,abbigail.blanchard@bilearner.com,Faculty of Engineering,Active,Contract,Voluntary,1960-11-25,RTS-Specialist,Male,3,1823,2023-05-12,4,4,3,Professional,18.4,2022.0,11.0,2022-11,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.6666666666666665,Medium,High,High,Medium,Medium,64,63,42,2,1,0.9999621
9,Abbigail,Cameron,2020-03-19,,Senior Accountant,Mrs. Leslie Simmons,abbigail.cameron@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1947-03-17,Finance-Senior Accountant,Female,3,1232,2022-08-22,2,1,5,Professional,62.833333333333336,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.6666666666666665,Medium,Low,Low,High,Low,78,20,29,4,0,0.00013844775
10,Abbigail,Solis,2019-06-28,2021-12-16,Professor (Research),Mary Rivera,abbigail.solis@bilearner.com,Faculty of Arts,Voluntarily Terminated,Part-Time,Resignation,1992-04-07,Professor (Research),Male,3,3335,2022-12-01,5,1,3,Academic,30.066666666666663,2021.0,12.0,2021-12,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Medium,High,Low,Medium,Medium,33,46,21,2,1,0.87509644
11,Abby,Curtis,2020-01-09,2022-03-10,Senior Officer,Lori Mason,abby.curtis@bilearner.com,Faculty of Medicine,Active,Contract,Voluntary,1960-03-02,Administration-Senior Officer,Male,3,1824,2023-03-15,3,1,1,Professional,26.366666666666667,2022.0,3.0,2022-03,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,1.6666666666666667,Medium,Medium,Low,Low,Low,65,7,34,2,1,0.9096547
12,Abby,Estes,2018-12-04,2022-07-01,Senior Officer,Anne Gomez,abby.estes@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Contract,Voluntary,2000-09-04,Administration-Senior Officer,Male,4,3238,2023-04-05,5,3,5,Professional,43.5,2022.0,7.0,2022-07,3-5yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,4.333333333333333,High,High,Medium,High,High,24,7,34,3,1,0.8855382
13,Abby,Woodward,2019-06-19,,Research Fellow,Karen Elliott,abby.woodward@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1992-11-12,Research Fellow,Male,3,3881,2022-10-20,5,3,5,Academic,71.96666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,4.333333333333333,Medium,High,Medium,High,High,32,66,25,4,0,8.601878e-05
14,Abdellah,Veera,2020-12-25,2023-03-08,Senior Research Officer,Jeffrey Gray,abdellah.veera@bilearner.com,Faculty of Medicine,Voluntarily Terminated,Contract,Resignation,1973-09-04,RTS-Senior Research Officer,Male,2,3208,2023-03-22,5,1,3,Professional,26.766666666666666,2023.0,3.0,2023-03,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Low,High,Low,Medium,Medium,51,60,36,2,1,0.9090355
15,Abdiel,Good,2020-03-15,,Officer,Jessica Harrison,abdiel.good@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1991-07-14,Student Services-Officer,Male,4,2665,2022-10-05,1,5,5,Professional,62.96666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,High,Low,High,High,Medium,33,75,19,4,0,6.2680185e-05
16,Abdullah,Arellano,2019-02-21,2022-10-21,Assistant Lecturer,Jacob Christian,abdullah.arellano@bilearner.com,Faculty of Engineering,Active,Part-Time,Resignation,1967-11-08,Assistant Lecturer,Female,4,2218,2022-10-10,4,1,5,Academic,44.6,2022.0,10.0,2022-10,3-5yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.333333333333333,High,High,Low,High,Medium,57,8,5,3,1,0.94762534
17,Abdullah,Ellison,2021-11-23,2023-05-29,Research Officer,Dr. William Thompson,abdullah.ellison@bilearner.com,Faculty of Engineering,Future Start,Contract,Voluntary,1998-11-14,RTS-Research Officer,Female,5,3591,2023-07-27,2,1,4,Professional,18.4,2023.0,5.0,2023-05,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,High,Low,Low,High,Low,26,54,26,2,1,0.9994246
18,Abdullah,Frederick,2020-11-14,,Senior Lecturer,Jessica Lewis,abdullah.frederick@bilearner.com,Faculty of Medicine,Active,Part-Time,Unk,1988-08-04,Senior Lecturer,Male,3,1080,2023-03-04,3,1,3,Academic,54.833333333333336,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.333333333333333,Medium,Medium,Low,Medium,Low,36,67,32,3,0,0.0073813847
19,Abdullah,Pruitt,2022-04-23,,Senior Lecturer,John Jones,abdullah.pruitt@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1995-04-17,Senior Lecturer,Male,3,3637,2023-05-07,2,1,3,Academic,37.333333333333336,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.0,Medium,Low,Low,Medium,Low,30,67,32,3,0,0.2292455
20,Abel,Baker,2023-06-16,,Educational Designer,Amy Duncan,abel.baker@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1995-09-26,Teaching Support-Educational Designer,Female,3,3900,2023-03-09,5,2,1,Professional,23.366666666666667,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,0,2.6666666666666665,Medium,High,Low,Low,Low,29,78,11,2,0,0.11844967
21,Abel,Bush,2020-03-08,2023-02-26,Senior Lecturer,John Jones,abel.bush@bilearner.com,Faculty of Medicine,Active,Contract,Resignation,1970-01-26,Senior Lecturer,Male,1,2495,2023-01-10,5,1,2,Academic,36.16666666666666,2023.0,2.0,2023-02,3-5yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.6666666666666665,Low,High,Low,Low,Low,55,67,32,3,1,0.8605734
22,Abel,Potts,2019-09-30,2021-06-23,Senior Research Fellow,Lori Martin,abel.potts@bilearner.com,Faculty of Medicine,Terminated for Cause,Full-Time,Resignation,2000-03-13,Senior Research Fellow,Female,1,3177,2023-04-20,3,4,2,Academic,21.066666666666663,2021.0,6.0,2021-06,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Low,Medium,High,Low,Medium,25,68,35,2,1,0.9999286
23,Abel,Snow,2023-07-06,2023-07-23,Research Officer,Bryan Ortega DVM,abel.snow@bilearner.com,Faculty of Arts,Leave of Absence,Full-Time,Involuntary,1960-01-16,RTS-Research Officer,Male,4,3103,2023-01-26,2,5,2,Professional,0.5666666666666667,2023.0,7.0,2023-07,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.0,High,Low,High,Low,Medium,65,54,26,1,1,0.99988437
24,Abigayle,Mccann,2022-02-26,2022-10-16,Senior Research Officer,Lori Lopez DVM,abigayle.mccann@bilearner.com,Faculty of Medicine,Active,Contract,Resignation,1975-04-27,RTS-Senior Research Officer,Female,3,1499,2022-11-28,4,2,3,Professional,7.733333333333333,2022.0,10.0,2022-10,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,Medium,High,Low,Medium,Medium,50,60,36,1,1,0.9977933
25,Abram,Fisher,2020-06-14,,Senior Coordinator,Brian Henderson,abram.fisher@bilearner.com,Faculty of Engineering,Active,Contract,Unk,1954-08-30,RTS-Senior Coordinator,Female,3,1161,2023-04-09,3,4,4,Professional,59.93333333333333,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,Medium,Medium,High,High,Medium,70,57,31,3,0,0.06487992
26,Abril,Cunningham,2019-05-02,,Research Officer,Angela Maxwell,abril.cunningham@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1983-12-11,RTS-Research Officer,Female,3,1781,2022-09-27,2,2,4,Professional,73.56666666666666,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.6666666666666665,Medium,Low,Low,High,Low,41,54,26,4,0,0.00034876497
27,Abril,Joseph,2018-12-16,,Senior Research Fellow,Gregory Hall,abril.joseph@bilearner.com,Faculty of Arts,Active,Part-Time,Unk,1978-10-18,Senior Research Fellow,Female,4,3146,2022-09-05,5,1,1,Academic,78.13333333333334,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.333333333333333,High,High,Low,Low,Low,46,68,35,4,0,0.00042142882
28,Ace,Krause,2021-12-24,2022-07-27,Senior Officer,Brittany Rubio,ace.krause@bilearner.com,Faculty of Medicine,Terminated for Cause,Full-Time,Resignation,1971-01-22,RTS-Senior Officer,Female,3,3998,2023-02-22,5,5,2,Professional,7.166666666666667,2022.0,7.0,2022-07,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,4.0,Medium,High,High,Low,High,54,59,34,1,1,0.9993119
